query_idx,gt_rank,score_gap,gt_score,top1_score
607,2,0.1640,0.6535,0.8174
612,14,0.1424,0.4847,0.6271
613,14,0.2462,0.4090,0.6552
614,40,0.2270,0.3252,0.5522
615,16,0.0943,0.4100,0.5042
616,7,0.1533,0.6713,0.8246
617,58,0.4761,0.3357,0.8118
618,4,0.1237,0.5662,0.6900
619,77,0.2137,0.3753,0.5890
620,2,0.1137,0.7371,0.8508
621,104,0.3559,0.3613,0.7172
622,2,0.0599,0.5357,0.5957
623,42,0.1361,0.4283,0.5644
626,484,0.3526,0.2069,0.5595
627,3,0.0853,0.5898,0.6751
628,90,0.1480,0.4618,0.6099
629,97,0.3659,0.3523,0.7181
631,125,0.2531,0.3864,0.6395
632,27,0.2332,0.4155,0.6487
633,27,0.1081,0.4094,0.5175
636,111,0.2864,0.4214,0.7078
638,5,0.0651,0.6521,0.7172
639,2,0.0040,0.5296,0.5336
640,5,0.1470,0.6434,0.7904
641,5,0.1066,0.5834,0.6900
642,10,0.0991,0.4480,0.5471
647,52,0.1779,0.4485,0.6264
649,101,0.1943,0.2646,0.4590
650,29,0.2482,0.3895,0.6377
654,6,0.0614,0.6313,0.6928
655,2,0.1447,0.6185,0.7632
656,17,0.0553,0.4480,0.5032
657,2,0.0238,0.5421,0.5659
658,5,0.0886,0.5554,0.6440
659,3,0.0708,0.6697,0.7405
660,11,0.1775,0.5239,0.7015
662,5,0.0277,0.4545,0.4822
663,2,0.0300,0.5287,0.5588
664,104,0.3057,0.4026,0.7083
666,58,0.2153,0.3421,0.5574
667,15,0.0696,0.5832,0.6528
668,2,0.0152,0.5107,0.5258
669,13,0.0593,0.5072,0.5665
670,95,0.2966,0.3925,0.6891
672,11,0.0701,0.5698,0.6399
673,5,0.0749,0.5787,0.6536
674,10,0.0345,0.4782,0.5127
676,11,0.1443,0.4139,0.5582
677,3,0.0933,0.6936,0.7869
678,3,0.1366,0.6076,0.7442
679,2,0.0124,0.7268,0.7392
680,2,0.0027,0.4830,0.4857
681,37,0.2359,0.3735,0.6094
682,4,0.1175,0.6669,0.7844
685,5,0.1689,0.5487,0.7176
